Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"dataList = findWebElements(findTestObject(""Object Repository/Products/list_products""), 10)",Edge Chromium 116,,,2023-08-31 12:40:38,2023-08-31 12:40:39,0.380s,PASSED
arrLastNameOri = [],Edge Chromium 116,,,2023-08-31 12:40:39,2023-08-31 12:40:39,0.001s,PASSED
arrLastNameSort = [],Edge Chromium 116,,,2023-08-31 12:40:39,2023-08-31 12:40:39,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 116,,,2023-08-31 12:40:39,2023-08-31 12:40:39,0.076s,PASSED
println(arrLastNameOri),Edge Chromium 116,,,2023-08-31 12:40:39,2023-08-31 12:40:39,0.001s,PASSED
println(arrLastNameSort),Edge Chromium 116,,,2023-08-31 12:40:39,2023-08-31 12:40:39,0.000s,PASSED
Arrays.sort(arrLastNameSort),Edge Chromium 116,,,2023-08-31 12:40:39,2023-08-31 12:40:39,0.010s,PASSED
assert arrLastNameOri == arrLastNameSort,Edge Chromium 116,,,2023-08-31 12:40:39,2023-08-31 12:40:39,0.002s,PASSED
,,,,,,,
Test Cases/Products/TC-Product-Sort-002,Edge Chromium 116,User ingin mengurutkan product items berurutan nama Z-A (descending),,2023-08-31 12:40:39,2023-08-31 12:40:52,13.230s,PASSED
"callTestCase(findTestCase(""Login/TC-Login-Success-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:40:39,2023-08-31 12:40:51,11.605s,PASSED
"selectOptionByValue(findTestObject(""Products/dropdown_menu""), ""za"", false)",Edge Chromium 116,,,2023-08-31 12:40:51,2023-08-31 12:40:51,0.776s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Products/list_products""), 10)",Edge Chromium 116,,,2023-08-31 12:40:51,2023-08-31 12:40:52,0.460s,PASSED
arrLastNameOri = [],Edge Chromium 116,,,2023-08-31 12:40:52,2023-08-31 12:40:52,0.001s,PASSED
arrLastNameSort = [],Edge Chromium 116,,,2023-08-31 12:40:52,2023-08-31 12:40:52,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 116,,,2023-08-31 12:40:52,2023-08-31 12:40:52,0.070s,PASSED
println(arrLastNameOri),Edge Chromium 116,,,2023-08-31 12:40:52,2023-08-31 12:40:52,0.001s,PASSED
println(arrLastNameSort),Edge Chromium 116,,,2023-08-31 12:40:52,2023-08-31 12:40:52,0.000s,PASSED
"Arrays.sort(arrLastNameSort, Collections.reverseOrder())",Edge Chromium 116,,,2023-08-31 12:40:52,2023-08-31 12:40:52,0.009s,PASSED
assert arrLastNameOri == arrLastNameSort,Edge Chromium 116,,,2023-08-31 12:40:52,2023-08-31 12:40:52,0.001s,PASSED
,,,,,,,
Test Cases/Products/TC-Product-Sort-003,Edge Chromium 116,User ingin mengurutkan produk berdasarkan price (low to high),,2023-08-31 12:40:52,2023-08-31 12:41:06,13.906s,PASSED
"callTestCase(findTestCase(""Login/TC-Login-Success-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:40:52,2023-08-31 12:41:05,12.302s,PASSED
"selectOptionByValue(findTestObject(""Products/dropdown_menu""), ""lohi"", false)",Edge Chromium 116,,,2023-08-31 12:41:05,2023-08-31 12:41:05,0.699s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Products/list_price""), 10)",Edge Chromium 116,,,2023-08-31 12:41:05,2023-08-31 12:41:06,0.494s,PASSED
arrLastNameOri = [],Edge Chromium 116,,,2023-08-31 12:41:06,2023-08-31 12:41:06,0.000s,PASSED
arrLastNameSort = [],Edge Chromium 116,,,2023-08-31 12:41:06,2023-08-31 12:41:06,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 116,,,2023-08-31 12:41:06,2023-08-31 12:41:06,0.078s,PASSED
println(arrLastNameSort),Edge Chromium 116,,,2023-08-31 12:41:06,2023-08-31 12:41:06,0.000s,PASSED
println(arrLastNameOri),Edge Chromium 116,,,2023-08-31 12:41:06,2023-08-31 12:41:06,0.001s,PASSED
Arrays.sort(arrLastNameSort),Edge Chromium 116,,,2023-08-31 12:41:06,2023-08-31 12:41:06,0.000s,PASSED
assert arrLastNameOri == arrLastNameSort,Edge Chromium 116,,,2023-08-31 12:41:06,2023-08-31 12:41:06,0.000s,PASSED
,,,,,,,
